index,order_id,date,status,fulfilment,sales_channel,ship-service-level,style,sku,category,size,asin,courier_status,qty,currency,amount,ship-city,ship-state,ship-postal-code,ship-country,promotion-ids,b2b,fulfilled-by,month
769.0,406-3236326-4964331,2022-04-30,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,JNE3799,JNE3799-KR-XS,kurta,XS,B09SDZ78G5,Shipped,1.0,INR,666.0,PUNE,MAHARASHTRA,411024.0,IN,"Amazon PLCC Free-Financing Universal Merchant AAT-WNKTBO3K27EJC,Amazon PLCC Free-Financing Universal Merchant AAT-QX3UCCJESKPA2,Amazon PLCC Free-Financing Universal Merchant AAT-5QQ7BIYYQEDN2,Amazon PLCC Free-Financing Universal Merchant AAT-DSJ2QRXXWXVMQ,Amazon PLCC Free-Financing Universal Merchant AAT-CXJHMC2YJUK76,Amazon PLCC Free-Financing Universal Merchant AAT-CC4FAVTYR4X7C,Amazon PLCC Free-Financing Universal Merchant AAT-XXRCW6NZEPZI4,Amazon PLCC Free-Financing Universal Merchant SS-1643890021772,Amazon PLCC Free-Financing Universal Merchant AAT-R7GXNZWISTRFA,Amazon PLCC Free-Financing Universal Merchant AAT-WSJLDN3X7KEMO,Amazon PLCC Free-Financing Universal Merchant AAT-VL6FGQVGQVXUS,Amazon PLCC Free-Financing Universal Merchant AAT-EOKPWFWYW7Y6I,Amazon PLCC Free-Financing Universal Merchant AAT-ZYL5UPUNW6T62,Amazon PLCC Free-Financing Universal Merchant AAT-PZHUW6DZX4BPS,Amazon PLCC Free-Financing Universal Merchant AAT-ETXQ3XXWMRXBG,Amazon PLCC Free-Financing Universal Merchant AAT-7X3XCTYG64VBE,Amazon PLCC Free-Financing Universal Merchant AAT-7CHGD3WTS3MHM,Amazon PLCC Free-Financing Universal Merchant AAT-26ZDKNME27X42,Amazon PLCC Free-Financing Universal Merchant AAT-4ZF5KN6E4LJK4,Amazon PLCC Free-Financing Universal Merchant AAT-7RCXIKUAX7DDY,Amazon PLCC Free-Financing Universal Merchant AAT-BRSZZ45H6MHAO,Amazon PLCC Free-Financing Universal Merchant AAT-MKLXOOZWQL7GO,Amazon PLCC Free-Financing Universal Merchant AAT-CB7UNXEXGIJTC,Amazon PLCC Free-Financing Universal Merchant #MP-gzasho-1593152694811,Amazon PLCC Free-Financing Universal Merchant AAT-WLBA4GZ52EAH4",False,Easy Ship,4.0
770.0,408-3364449-3401947,2022-04-30,Cancelled,Amazon,Amazon.in,Expedited,SET121,SET121-KR-NP-XS,Set,XS,B085HRF83T,Cancelled,0.0,Unknown,,Mumbai,MAHARASHTRA,400030.0,IN,Unknown,False,Unknown,4.0
771.0,402-7682157-9147503,2022-04-30,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,J0003,J0003-SET-L,Set,L,B0894Y4PNG,Shipped,1.0,INR,696.0,HYDERABAD,TELANGANA,500085.0,IN,"Amazon PLCC Free-Financing Universal Merchant AAT-WNKTBO3K27EJC,Amazon PLCC Free-Financing Universal Merchant AAT-QX3UCCJESKPA2,Amazon PLCC Free-Financing Universal Merchant AAT-5QQ7BIYYQEDN2,Amazon PLCC Free-Financing Universal Merchant AAT-DSJ2QRXXWXVMQ,Amazon PLCC Free-Financing Universal Merchant AAT-CXJHMC2YJUK76,Amazon PLCC Free-Financing Universal Merchant AAT-SL3Y2YRMAUNFC,Amazon PLCC Free-Financing Universal Merchant AAT-CC4FAVTYR4X7C,Amazon PLCC Free-Financing Universal Merchant AAT-XXRCW6NZEPZI4,Amazon PLCC Free-Financing Universal Merchant AAT-GCJU35EX7SQJ4,Amazon PLCC Free-Financing Universal Merchant AAT-EOKPWFWYW7Y6I,Amazon PLCC Free-Financing Universal Merchant AAT-ZYL5UPUNW6T62,Amazon PLCC Free-Financing Universal Merchant AAT-PZHUW6DZX4BPS,Amazon PLCC Free-Financing Universal Merchant AAT-ETXQ3XXWMRXBG,Amazon PLCC Free-Financing Universal Merchant AAT-7X3XCTYG64VBE,Amazon PLCC Free-Financing Universal Merchant AAT-7CHGD3WTS3MHM,Amazon PLCC Free-Financing Universal Merchant AAT-26ZDKNME27X42,Amazon PLCC Free-Financing Universal Merchant AAT-4ZF5KN6E4LJK4,Amazon PLCC Free-Financing Universal Merchant AAT-7RCXIKUAX7DDY,Amazon PLCC Free-Financing Universal Merchant AAT-BRSZZ45H6MHAO,Amazon PLCC Free-Financing Universal Merchant AAT-MKLXOOZWQL7GO,Amazon PLCC Free-Financing Universal Merchant AAT-CB7UNXEXGIJTC,Amazon PLCC Free-Financing Universal Merchant #MP-gzasho-1593152694811,Amazon PLCC Free-Financing Universal Merchant AAT-WLBA4GZ52EAH4",False,Easy Ship,4.0
772.0,405-1515003-2007535,2022-04-30,Shipped,Amazon,Amazon.in,Expedited,J0202,J0202-TP-XXL,Top,XXL,B0965L5FLZ,Shipped,1.0,INR,519.0,HYDERABAD,TELANGANA,500089.0,IN,IN Core Free Shipping 2015/04/08 23-48-5-108,False,Unknown,4.0
773.0,408-8569813-9288333,2022-04-30,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,J0014,J0014-LCD-S,Set,S,B0894WPZNV,Shipped,1.0,INR,1199.0,SATNA,MADHYA PRADESH,485001.0,IN,"Amazon PLCC Free-Financing Universal Merchant AAT-WNKTBO3K27EJC,Amazon PLCC Free-Financing Universal Merchant AAT-QX3UCCJESKPA2,Amazon PLCC Free-Financing Universal Merchant AAT-5QQ7BIYYQEDN2,Amazon PLCC Free-Financing Universal Merchant AAT-DSJ2QRXXWXVMQ,Amazon PLCC Free-Financing Universal Merchant AAT-CXJHMC2YJUK76,Amazon PLCC Free-Financing Universal Merchant AAT-SL3Y2YRMAUNFC,Amazon PLCC Free-Financing Universal Merchant AAT-CC4FAVTYR4X7C,Amazon PLCC Free-Financing Universal Merchant AAT-XXRCW6NZEPZI4,Amazon PLCC Free-Financing Universal Merchant AAT-CXNSLNBROFDW4,Amazon PLCC Free-Financing Universal Merchant AAT-WSJLDN3X7KEMO,Amazon PLCC Free-Financing Universal Merchant AAT-VL6FGQVGQVXUS,Amazon PLCC Free-Financing Universal Merchant AAT-EOKPWFWYW7Y6I,Amazon PLCC Free-Financing Universal Merchant AAT-ZYL5UPUNW6T62,Amazon PLCC Free-Financing Universal Merchant AAT-XVPICCHRWDCAI,Amazon PLCC Free-Financing Universal Merchant AAT-PZHUW6DZX4BPS,Amazon PLCC Free-Financing Universal Merchant AAT-ETXQ3XXWMRXBG,Amazon PLCC Free-Financing Universal Merchant AAT-7X3XCTYG64VBE,Amazon PLCC Free-Financing Universal Merchant AAT-7CHGD3WTS3MHM,Amazon PLCC Free-Financing Universal Merchant AAT-26ZDKNME27X42,Amazon PLCC Free-Financing Universal Merchant AAT-4ZF5KN6E4LJK4,Amazon PLCC Free-Financing Universal Merchant AAT-7RCXIKUAX7DDY,Amazon PLCC Free-Financing Universal Merchant AAT-BRSZZ45H6MHAO,Amazon PLCC Free-Financing Universal Merchant AAT-MKLXOOZWQL7GO,Amazon PLCC Free-Financing Universal Merchant AAT-CB7UNXEXGIJTC,Amazon PLCC Free-Financing Universal Merchant #MP-gzasho-1593152694811,Amazon PLCC Free-Financing Universal Merchant AAT-WLBA4GZ52EAH4",False,Easy Ship,4.0
774.0,404-0867714-0772302,2022-04-30,Shipped,Amazon,Amazon.in,Expedited,SET291,SET291-KR-PP-XXL,Set,XXL,B099NJQ8JQ,Shipped,1.0,INR,563.0,Padur,TAMIL NADU,603103.0,IN,IN Core Free Shipping 2015/04/08 23-48-5-108,False,Unknown,4.0
775.0,404-0867714-0772302,2022-04-30,Shipped,Amazon,Amazon.in,Expedited,JNE3405,JNE3405-KR-XXL,kurta,XXL,B081WSL2JS,Shipped,1.0,INR,399.0,Padur,TAMIL NADU,603103.0,IN,IN Core Free Shipping 2015/04/08 23-48-5-108,False,Unknown,4.0
776.0,404-0867714-0772302,2022-04-30,Shipped,Amazon,Amazon.in,Expedited,JNE3396,JNE3396-KR-XL,kurta,XL,B083ZZGZBV,Shipped,1.0,INR,487.0,Padur,TAMIL NADU,603103.0,IN,IN Core Free Shipping 2015/04/08 23-48-5-108,False,Unknown,4.0
777.0,402-1704468-7240327,2022-04-30,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,JNE3609,JNE3609-KR-XXL,kurta,XXL,B08W1HC76G,Shipped,1.0,INR,568.0,MADURAI,TAMIL NADU,625007.0,IN,"Amazon PLCC Free-Financing Universal Merchant AAT-WNKTBO3K27EJC,Amazon PLCC Free-Financing Universal Merchant AAT-QX3UCCJESKPA2,Amazon PLCC Free-Financing Universal Merchant AAT-5QQ7BIYYQEDN2,Amazon PLCC Free-Financing Universal Merchant AAT-DSJ2QRXXWXVMQ,Amazon PLCC Free-Financing Universal Merchant AAT-CXJHMC2YJUK76,Amazon PLCC Free-Financing Universal Merchant AAT-CC4FAVTYR4X7C,Amazon PLCC Free-Financing Universal Merchant AAT-XXRCW6NZEPZI4,Amazon PLCC Free-Financing Universal Merchant AAT-WSJLDN3X7KEMO,Amazon PLCC Free-Financing Universal Merchant AAT-VL6FGQVGQVXUS,Amazon PLCC Free-Financing Universal Merchant AAT-EOKPWFWYW7Y6I,Amazon PLCC Free-Financing Universal Merchant AAT-ZYL5UPUNW6T62,Amazon PLCC Free-Financing Universal Merchant AAT-XVPICCHRWDCAI,Amazon PLCC Free-Financing Universal Merchant AAT-PZHUW6DZX4BPS,Amazon PLCC Free-Financing Universal Merchant AAT-ETXQ3XXWMRXBG,Amazon PLCC Free-Financing Universal Merchant AAT-7X3XCTYG64VBE,Amazon PLCC Free-Financing Universal Merchant AAT-7CHGD3WTS3MHM,Amazon PLCC Free-Financing Universal Merchant AAT-26ZDKNME27X42,Amazon PLCC Free-Financing Universal Merchant AAT-4ZF5KN6E4LJK4,Amazon PLCC Free-Financing Universal Merchant AAT-7RCXIKUAX7DDY,Amazon PLCC Free-Financing Universal Merchant AAT-BRSZZ45H6MHAO,Amazon PLCC Free-Financing Universal Merchant AAT-MKLXOOZWQL7GO,Amazon PLCC Free-Financing Universal Merchant AAT-CB7UNXEXGIJTC,Amazon PLCC Free-Financing Universal Merchant #MP-gzasho-1593152694811,Amazon PLCC Free-Financing Universal Merchant AAT-WLBA4GZ52EAH4",False,Easy Ship,4.0
778.0,406-5757669-2996307,2022-04-30,Shipped,Amazon,Amazon.in,Expedited,JNE3405,JNE3405-KR-XXL,kurta,XXL,B081WSL2JS,Shipped,1.0,INR,399.0,MUMBAI,MAHARASHTRA,400029.0,IN,Unknown,False,Unknown,4.0
779.0,407-1492215-2982709,2022-04-30,Shipped,Amazon,Amazon.in,Expedited,JNE3775,JNE3775-KR-S,kurta,S,B09KXNZ377,Shipped,1.0,INR,291.0,NEW DELHI,DELHI,110074.0,IN,IN Core Free Shipping 2015/04/08 23-48-5-108,False,Unknown,4.0
780.0,171-2119982-7294757,2022-04-30,Shipped,Amazon,Amazon.in,Expedited,J0341,J0341-DR-L,Western Dress,L,B099NRCT7B,Shipped,1.0,INR,744.0,BALLIA,UTTAR PRADESH,277001.0,IN,IN Core Free Shipping 2015/04/08 23-48-5-108,False,Unknown,4.0
781.0,407-1684475-5197113,2022-04-30,Shipped,Amazon,Amazon.in,Expedited,J0003,J0003-SET-XL,Set,XL,B0894YFQ5R,Shipped,1.0,INR,696.0,PUNE,MAHARASHTRA,411041.0,IN,Unknown,False,Unknown,4.0
782.0,404-4568279-0273125,2022-04-30,Shipped,Amazon,Amazon.in,Expedited,J0301,J0301-TP-XXL,Top,XXL,B099S8X47K,Shipped,1.0,INR,463.0,FARIDABAD,HARYANA,121003.0,IN,Unknown,False,Unknown,4.0
783.0,403-9752008-2541919,2022-04-30,Cancelled,Merchant,Amazon.in,Standard,JNE3659,JNE3659-TP-N-L,Top,L,B08ZHT1PKK,Unknown,0.0,INR,469.52,KALYAN,MAHARASHTRA,421204.0,IN,Unknown,False,Easy Ship,4.0
784.0,403-3896686-3972343,2022-04-30,Shipped,Amazon,Amazon.in,Expedited,JNE3652,JNE3652-TP-N-L,Top,L,B08ZHKRV5F,Shipped,1.0,INR,339.0,KALYAN,MAHARASHTRA,421204.0,IN,Unknown,False,Unknown,4.0
785.0,408-5238024-3207538,2022-04-30,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,SET192,SET192-KR-NP-XXXL,Set,3XL,B0983CDYWM,Shipped,1.0,INR,680.0,DEVARAKONDA,TELANGANA,508248.0,IN,"Amazon PLCC Free-Financing Universal Merchant AAT-WNKTBO3K27EJC,Amazon PLCC Free-Financing Universal Merchant AAT-QX3UCCJESKPA2,Amazon PLCC Free-Financing Universal Merchant AAT-5QQ7BIYYQEDN2,Amazon PLCC Free-Financing Universal Merchant AAT-DSJ2QRXXWXVMQ,Amazon PLCC Free-Financing Universal Merchant AAT-CXJHMC2YJUK76,Amazon PLCC Free-Financing Universal Merchant AAT-CC4FAVTYR4X7C,Amazon PLCC Free-Financing Universal Merchant AAT-XXRCW6NZEPZI4,Amazon PLCC Free-Financing Universal Merchant AAT-EOKPWFWYW7Y6I,Amazon PLCC Free-Financing Universal Merchant AAT-ZYL5UPUNW6T62,Amazon PLCC Free-Financing Universal Merchant AAT-PZHUW6DZX4BPS,Amazon PLCC Free-Financing Universal Merchant AAT-ETXQ3XXWMRXBG,Amazon PLCC Free-Financing Universal Merchant AAT-7X3XCTYG64VBE,Amazon PLCC Free-Financing Universal Merchant AAT-7CHGD3WTS3MHM,Amazon PLCC Free-Financing Universal Merchant AAT-26ZDKNME27X42,Amazon PLCC Free-Financing Universal Merchant AAT-4ZF5KN6E4LJK4,Amazon PLCC Free-Financing Universal Merchant AAT-7RCXIKUAX7DDY,Amazon PLCC Free-Financing Universal Merchant AAT-BRSZZ45H6MHAO,Amazon PLCC Free-Financing Universal Merchant AAT-MKLXOOZWQL7GO,Amazon PLCC Free-Financing Universal Merchant AAT-CB7UNXEXGIJTC,Amazon PLCC Free-Financing Universal Merchant #MP-gzasho-1593152694811,Amazon PLCC Free-Financing Universal Merchant AAT-WLBA4GZ52EAH4",False,Easy Ship,4.0
786.0,403-9336057-8075519,2022-04-30,Shipped,Amazon,Amazon.in,Expedited,SET183,SET183-KR-DH-S,Set,S,B08B3Z38TJ,Shipped,1.0,INR,759.0,GURUGRAM,HARYANA,122017.0,IN,IN Core Free Shipping 2015/04/08 23-48-5-108,False,Unknown,4.0
787.0,406-6070472-3313109,2022-04-30,Shipped,Amazon,Amazon.in,Expedited,SET345,SET345-KR-NP-M,Set,M,B09KXV4BN8,Shipped,1.0,INR,626.0,THRISSUR,KERALA,680003.0,IN,IN Core Free Shipping 2015/04/08 23-48-5-108,False,Unknown,4.0
